T/K,P/MPa,H2(g),C(g),N(g),CH4(g),H2O(g),CO(g),O2(g),H2S(g),NaOH(g),KH(g),CO2(g),N2(g),Fe(g),H(g),SO2(g),Ni(g),SiO(g),Na(g),OH(g),O(g),SO(g),S2(g),KCl(g),HF(g),NaCl(g),Co(g),K(g),CrO2(g),FeO(g),Mg(g),Mn(g),PO2(g),PO(g),Ar(g),Zn(g),ZnS(g),ZnOH(g),ZnO(g)
1500,1.00E-01,6.47E-06,3.97E-30,4.76E-14,2.52E-26,2.56E-01,5.30E-06,5.55E-03,3.12E-13,4.96E-06,1.15E-13,8.08E-02,6.14E-01,2.05E-13,4.48E-08,4.27E-02,2.18E-10,2.13E-14,1.11E-07,5.04E-05,3.02E-07,2.07E-07,1.67E-16,8.99E-05,1.25E-04,8.43E-05,2.18E-11,2.59E-08,1.82E-09,1.28E-11,3.50E-15,1.15E-12,5.52E-12,7.81E-16,0.00E+00,3.45E-06,3.38E-16,9.00E-09,1.27E-08
1450,1.00E-01,6.53E-06,7.38E-31,1.27E-14,4.45E-26,2.57E-01,4.92E-06,1.38E-03,6.02E-13,2.12E-06,3.71E-14,8.12E-02,6.17E-01,6.39E-14,2.42E-08,4.29E-02,7.29E-11,4.79E-15,4.23E-08,2.27E-05,7.46E-08,1.81E-07,3.70E-16,7.84E-05,1.26E-04,7.53E-05,7.09E-12,9.26E-09,3.72E-10,3.06E-12,8.46E-16,3.52E-13,1.40E-12,1.97E-16,0.00E+00,1.67E-06,2.30E-16,3.42E-09,3.01E-09
1400,1.00E-01,6.59E-06,1.21E-31,3.09E-15,8.19E-26,2.57E-01,4.53E-06,3.09E-04,1.22E-12,8.50E-07,1.11E-14,8.13E-02,6.18E-01,1.83E-14,1.25E-08,4.30E-02,2.24E-11,9.65E-16,1.50E-08,9.67E-06,1.66E-08,1.57E-07,8.68E-16,6.42E-05,1.27E-04,6.33E-05,2.13E-12,3.07E-09,6.77E-11,6.60E-13,1.85E-16,9.94E-14,3.24E-13,4.51E-17,0.00E+00,7.58E-07,1.51E-16,1.20E-09,6.36E-10
1350,1.00E-01,6.66E-06,1.76E-32,6.74E-16,1.59E-25,2.57E-01,4.14E-06,6.18E-05,2.60E-12,3.17E-07,3.02E-15,8.13E-02,6.18E-01,4.78E-15,6.15E-09,4.30E-02,6.19E-12,1.73E-16,4.92E-09,3.85E-06,3.32E-09,1.34E-07,2.18E-15,4.86E-05,1.27E-04,4.93E-05,5.84E-13,9.34E-10,1.09E-11,1.27E-13,3.60E-17,2.55E-14,6.69E-14,9.27E-18,0.00E+00,3.18E-07,9.43E-17,3.80E-10,1.17E-10
1300,1.00E-01,6.76E-06,2.20E-33,1.31E-16,3.28E-25,2.57E-01,3.77E-06,1.09E-05,5.93E-12,1.09E-07,7.44E-16,8.13E-02,6.18E-01,1.13E-15,2.88E-09,4.30E-02,1.55E-12,2.71E-17,1.48E-09,1.43E-06,5.83E-10,1.14E-07,5.93E-15,3.35E-05,1.27E-04,3.50E-05,1.45E-13,2.59E-10,1.53E-12,2.14E-14,6.17E-18,5.88E-15,1.23E-14,1.69E-18,0.00E+00,1.25E-07,5.72E-17,1.10E-10,1.89E-11
1250,1.00E-01,6.89E-06,2.33E-34,2.24E-17,7.23E-25,2.57E-01,3.41E-06,1.65E-06,1.45E-11,3.48E-08,1.65E-16,8.13E-02,6.18E-01,2.35E-16,1.27E-09,4.30E-02,3.46E-13,3.65E-18,4.05E-10,4.88E-07,8.90E-11,9.54E-08,1.76E-14,2.09E-05,1.02E-04,2.26E-05,3.00E-14,6.51E-11,1.82E-13,3.13E-15,9.19E-19,1.20E-15,1.94E-15,2.68E-19,0.00E+00,4.57E-08,3.36E-17,2.91E-11,2.64E-12
1200,1.00E-01,7.05E-06,2.07E-35,3.30E-18,1.72E-24,2.58E-01,3.06E-06,2.14E-07,3.87E-11,1.03E-08,3.32E-17,8.13E-02,6.18E-01,4.32E-17,5.24E-10,4.31E-02,6.87E-14,4.11E-19,1.02E-10,1.53E-07,1.16E-11,7.89E-08,5.75E-14,1.21E-05,4.75E-05,1.35E-05,5.18E-15,1.50E-11,1.79E-14,3.88E-16,1.17E-19,2.18E-16,2.55E-16,3.51E-20,0.00E+00,1.54E-08,1.90E-17,6.88E-12,3.13E-13
1150,1.00E-01,7.25E-06,1.49E-36,4.12E-19,4.45E-24,2.58E-01,2.73E-06,2.32E-08,1.13E-10,2.75E-09,5.80E-18,8.13E-02,6.18E-01,6.82E-18,2.01E-10,4.31E-02,1.18E-14,3.83E-20,2.28E-11,4.31E-08,1.27E-12,6.43E-08,2.10E-13,6.36E-06,2.11E-05,7.40E-06,7.68E-16,3.03E-12,1.44E-15,3.99E-17,1.25E-20,3.39E-17,2.78E-17,3.84E-21,0.00E+00,4.72E-09,1.03E-17,1.43E-12,3.07E-14
1100,1.00E-01,7.49E-06,8.45E-38,4.27E-20,1.26E-23,2.58E-01,2.40E-06,2.04E-09,3.63E-10,6.48E-10,8.64E-19,8.13E-02,6.18E-01,9.07E-19,7.07E-11,4.31E-02,1.73E-15,2.87E-21,4.44E-12,1.08E-08,1.13E-13,5.15E-08,8.66E-13,3.05E-06,8.94E-06,3.71E-06,9.55E-17,5.27E-13,9.18E-17,3.33E-18,1.08E-21,4.43E-18,2.46E-18,3.40E-22,0.00E+00,1.30E-09,5.30E-18,2.59E-13,2.44E-15
1050,1.00E-01,7.78E-06,3.66E-39,3.57E-21,3.99E-23,2.58E-01,2.09E-06,1.43E-10,1.31E-09,1.33E-10,1.07E-19,8.13E-02,6.18E-01,9.91E-20,2.26E-11,4.31E-02,2.11E-16,1.67E-22,7.35E-13,2.39E-09,7.99E-15,4.04E-08,4.10E-12,1.34E-06,3.56E-06,1.70E-06,9.73E-18,7.75E-14,4.47E-18,2.18E-19,7.40E-23,4.75E-19,1.70E-19,2.36E-23,0.00E+00,3.14E-10,2.57E-18,3.96E-14,1.51E-16
1000,1.00E-01,8.14E-06,1.16E-40,2.33E-22,1.42E-22,2.58E-01,1.79E-06,7.63E-12,5.42E-09,2.31E-11,1.08E-20,8.13E-02,6.18E-01,8.64E-21,6.47E-12,4.31E-02,2.07E-17,7.31E-24,1.01E-13,4.53E-10,4.34E-16,3.09E-08,2.27E-11,5.31E-07,1.32E-06,7.08E-07,7.87E-19,9.38E-15,1.60E-19,1.08E-20,3.86E-24,4.06E-20,8.97E-21,1.25E-24,0.00E+00,6.59E-11,1.16E-18,5.02E-15,7.09E-18
950,1.00E-01,8.66E-06,2.61E-42,1.14E-23,6.03E-22,2.58E-01,1.53E-06,2.95E-13,2.46E-08,3.34E-12,8.57E-22,8.16E-02,6.20E-01,5.84E-22,1.64E-12,3.96E-02,1.60E-18,2.31E-25,1.13E-14,7.20E-11,1.72E-17,2.13E-08,1.32E-10,1.90E-07,4.48E-07,2.67E-07,4.91E-20,9.07E-16,3.99E-21,3.88E-22,1.48E-25,2.69E-21,3.44E-22,4.85E-26,0.00E+00,1.18E-11,4.53E-19,5.13E-16,2.40E-19
900,1.00E-01,9.61E-06,4.07E-44,4.03E-25,3.40E-21,2.61E-01,1.32E-06,7.54E-15,1.20E-07,3.46E-13,4.69E-23,8.24E-02,6.26E-01,3.00E-23,3.62E-13,3.03E-02,9.53E-20,5.05E-27,8.90E-16,9.23E-12,4.67E-19,1.21E-08,7.21E-10,5.35E-08,1.81E-07,7.98E-08,1.80E-21,6.07E-17,6.49E-23,9.64E-24,4.02E-27,1.34E-22,2.07E-23,3.04E-27,0.00E+00,1.77E-12,1.44E-19,4.12E-17,5.54E-21
850,1.00E-01,1.09E-05,4.00E-46,9.56E-27,2.45E-20,2.61E-01,1.13E-06,1.21E-16,9.94E-07,3.61E-14,2.45E-24,8.24E-02,6.26E-01,1.10E-24,6.76E-14,3.03E-02,4.19E-21,6.90E-29,6.90E-17,9.17E-13,8.14E-21,8.90E-09,9.46E-09,1.71E-08,7.70E-08,2.71E-08,6.50E-23,3.94E-18,6.35E-25,1.54E-25,7.39E-29,4.92E-24,1.40E-24,2.18E-28,0.00E+00,2.20E-13,5.83E-20,2.50E-18,8.31E-23
800,1.00E-01,1.23E-05,2.12E-48,1.42E-28,2.08E-19,2.61E-01,9.22E-07,1.21E-18,9.50E-06,2.17E-15,4.28E-26,8.26E-02,6.27E-01,2.55E-26,1.02E-14,2.84E-02,7.00E-23,5.34E-31,2.94E-18,6.91E-14,8.76E-23,5.77E-09,1.39E-07,2.33E-09,2.95E-08,6.16E-09,8.72E-25,8.89E-20,4.60E-27,1.44E-27,8.02E-31,1.15E-25,6.28E-26,1.03E-29,0.00E+00,1.19E-14,1.07E-20,6.10E-20,4.24E-25
750,1.00E-01,7.60E-06,1.58E-51,1.22E-30,1.90E-19,2.64E-01,3.92E-07,2.32E-20,1.37E-05,7.47E-17,6.57E-29,8.33E-02,6.33E-01,1.36E-28,8.72E-16,1.97E-02,2.40E-25,1.13E-33,4.92E-20,5.09E-15,9.74E-25,1.39E-09,1.27E-07,6.91E-11,1.20E-08,9.47E-10,2.33E-27,2.49E-22,2.85E-29,5.14E-30,2.51E-33,8.53E-28,2.28E-27,2.09E-31,0.00E+00,1.55E-16,1.18E-22,4.49E-22,7.23E-28
700,1.00E-01,3.12E-06,2.14E-55,5.28E-33,4.37E-20,2.65E-01,1.05E-07,4.97E-22,9.96E-06,9.81E-19,1.15E-32,8.35E-02,6.35E-01,2.04E-31,4.46E-17,1.71E-02,5.35E-28,7.27E-37,2.41E-22,3.05E-16,7.98E-27,2.59E-10,5.22E-08,4.96E-13,5.93E-09,6.86E-11,5.40E-30,1.02E-25,7.08E-32,6.84E-33,2.38E-36,2.06E-30,1.10E-28,3.73E-33,0.00E+00,1.55E-18,6.63E-25,2.75E-24,9.86E-31
650,1.00E-01,2.91E-06,4.93E-59,9.97E-36,3.59E-19,2.67E-01,5.88E-08,8.88E-25,6.18E-05,1.45E-20,2.22E-35,8.43E-02,6.41E-01,4.58E-34,2.34E-18,7.59E-03,1.34E-31,5.80E-40,1.82E-24,7.42E-18,1.22E-29,4.98E-11,2.24E-07,2.70E-14,1.20E-09,7.25E-12,5.35E-33,3.29E-28,3.42E-35,5.19E-36,1.30E-39,2.72E-33,4.94E-31,1.36E-35,0.00E+00,3.08E-20,2.36E-26,1.95E-26,7.66E-34
600,1.00E-01,1.85E-06,1.45E-63,6.67E-39,1.01E-18,2.59E-01,2.16E-08,1.09E-27,4.20E-05,1.37E-22,2.64E-38,8.60E-02,6.54E-01,2.20E-37,6.27E-20,6.79E-04,6.48E-35,4.66E-44,6.72E-27,1.13E-19,8.86E-33,1.20E-12,1.69E-08,2.30E-15,1.05E-10,7.07E-13,1.57E-36,8.52E-31,5.92E-39,9.87E-40,3.07E-43,2.55E-36,1.41E-34,2.18E-39,0.00E+00,1.88E-22,3.37E-29,4.17E-29,1.49E-37
550,1.00E-01,1.04E-06,7.09E-69,1.20E-42,3.43E-18,2.29E-01,7.02E-09,3.62E-31,2.11E-05,3.19E-25,1.06E-41,8.96E-02,6.81E-01,2.75E-41,8.59E-22,2.99E-05,9.31E-39,3.82E-49,5.48E-30,7.56E-22,1.67E-36,1.17E-14,5.50E-10,4.69E-17,4.84E-12,8.80E-15,1.51E-40,8.74E-34,2.04E-43,3.95E-44,2.20E-47,9.26E-40,5.95E-39,4.85E-44,0.00E+00,4.74E-25,1.27E-32,2.85E-32,6.13E-42
500,1.00E-01,5.69E-07,2.51E-75,3.77E-47,1.44E-17,2.29E-01,1.62E-09,2.79E-35,9.91E-06,3.00E-28,7.91E-46,8.96E-02,6.81E-01,5.03E-46,5.24E-24,8.04E-07,2.26E-43,3.12E-55,1.30E-33,2.08E-24,6.11E-41,4.84E-17,8.95E-12,2.22E-19,1.44E-13,3.26E-17,2.25E-45,1.94E-37,9.38E-49,1.97E-49,1.74E-52,5.08E-44,4.44E-44,1.57E-49,0.00E+00,3.16E-28,8.73E-37,4.46E-36,3.14E-47
450,1.00E-01,2.77E-07,3.29E-83,1.20E-52,8.22E-17,2.29E-01,2.67E-10,2.60E-40,3.94E-06,5.91E-32,7.14E-51,8.84E-02,6.82E-01,8.00E-52,1.05E-26,9.52E-09,5.13E-49,1.11E-62,4.76E-38,1.55E-27,2.32E-46,5.83E-20,5.77E-14,3.09E-22,1.95E-15,3.35E-20,2.83E-51,6.53E-42,2.05E-55,6.37E-56,1.01E-58,2.47E-50,2.38E-50,3.07E-56,0.00E+00,7.30E-32,1.25E-41,1.76E-40,1.88E-53
