T/K,P/MPa,H2(g),C(g),N(g),CH4(g),H2O(g),CO(g),O2(g),H2S(g),NaOH(g),KH(g),CO2(g),N2(g),Fe(g),H(g),SO2(g),Ni(g),SiO(g),Na(g),OH(g),O(g),SO(g),S2(g),KCl(g),HF(g),NaCl(g),Co(g),K(g),CrO2(g),FeO(g),Mg(g),Mn(g),PO2(g),PO(g),Ar(g),Zn(g),ZnS(g),ZnOH(g),ZnO(g)
2000,1.00E-01,7.44E-04,1.14E-20,7.04E-10,9.04E-20,2.51E-01,1.08E-03,9.39E-03,4.81E-09,1.42E-03,2.87E-09,7.92E-02,6.09E-01,4.21E-07,4.44E-05,4.24E-02,6.08E-05,5.79E-08,7.83E-04,1.49E-03,6.48E-05,6.68E-05,1.13E-10,2.45E-05,8.87E-05,1.95E-04,7.38E-06,2.86E-05,1.60E-05,1.47E-06,1.60E-08,9.43E-07,3.53E-06,6.31E-08,0.00E+00,1.19E-04,1.49E-11,1.66E-07,6.40E-07
1950,1.00E-01,5.15E-04,2.13E-21,3.36E-10,2.78E-20,2.53E-01,7.16E-04,9.13E-03,2.26E-09,7.74E-04,1.66E-09,7.96E-02,6.10E-01,1.46E-07,2.60E-05,4.25E-02,2.48E-05,2.22E-08,3.33E-04,1.15E-03,4.31E-05,4.27E-05,3.96E-11,3.93E-05,9.82E-05,1.77E-04,2.89E-06,2.10E-05,7.77E-06,6.39E-07,4.50E-09,3.02E-07,1.59E-06,1.95E-08,0.00E+00,1.19E-04,8.48E-12,1.75E-07,6.26E-07
1900,1.00E-01,3.46E-04,3.55E-22,1.54E-10,7.76E-21,2.53E-01,4.61E-04,9.00E-03,9.93E-10,4.09E-04,8.96E-10,8.00E-02,6.11E-01,4.72E-08,1.48E-05,4.25E-02,8.87E-06,7.99E-09,1.35E-04,8.83E-04,2.83E-05,2.64E-05,1.26E-11,6.02E-05,1.05E-04,1.53E-04,1.06E-06,1.48E-05,3.78E-06,2.65E-07,1.18E-09,9.06E-08,6.90E-07,5.63E-09,0.00E+00,1.19E-04,4.62E-12,1.86E-07,6.16E-07
1850,1.00E-01,2.26E-04,5.33E-23,6.80E-11,1.98E-21,2.54E-01,2.88E-04,8.95E-03,4.11E-10,2.13E-04,4.57E-10,8.02E-02,6.11E-01,1.38E-08,8.11E-06,4.26E-02,2.98E-06,2.70E-09,5.29E-05,6.68E-04,1.82E-05,1.58E-05,3.71E-12,8.58E-05,1.10E-04,1.24E-04,3.46E-07,9.94E-06,1.77E-06,1.01E-07,2.84E-10,2.49E-08,2.87E-07,1.52E-09,0.00E+00,1.19E-04,2.41E-12,1.98E-07,6.08E-07
1800,1.00E-01,1.44E-04,7.15E-24,2.86E-11,4.61E-22,2.54E-01,1.74E-04,8.95E-03,1.61E-10,1.41E-04,2.29E-10,8.03E-02,6.11E-01,3.55E-09,4.30E-06,4.26E-02,9.37E-07,6.50E-10,2.60E-05,4.98E-04,1.15E-05,9.17E-06,1.01E-12,1.04E-04,1.12E-04,1.07E-04,1.08E-07,6.66E-06,7.96E-07,3.45E-08,7.24E-11,7.45E-09,6.18E-08,2.07E-10,0.00E+00,1.19E-04,1.21E-12,2.11E-07,6.01E-07
1750,1.00E-01,8.92E-05,8.52E-25,1.15E-11,9.82E-23,2.55E-01,1.02E-04,8.97E-03,5.92E-11,9.58E-05,1.09E-10,8.04E-02,6.11E-01,8.46E-10,2.20E-06,4.26E-02,2.75E-07,1.44E-10,1.28E-05,3.66E-04,7.08E-06,5.15E-06,2.52E-13,1.20E-04,1.12E-04,9.15E-05,3.11E-08,4.34E-06,3.42E-07,1.11E-08,1.70E-11,2.07E-09,1.24E-08,2.54E-11,0.00E+00,1.19E-04,5.78E-13,2.27E-07,5.94E-07
1700,1.00E-01,5.37E-05,8.94E-26,4.35E-12,1.91E-23,2.55E-01,5.81E-05,9.00E-03,2.05E-11,6.32E-05,4.06E-11,8.05E-02,6.12E-01,1.84E-10,1.08E-06,4.26E-02,7.49E-08,2.92E-11,6.04E-06,2.63E-04,4.24E-06,2.79E-06,5.81E-14,1.26E-04,1.14E-04,8.50E-05,8.31E-09,2.25E-06,1.39E-07,3.33E-09,3.66E-12,5.31E-10,2.28E-09,2.80E-12,0.00E+00,1.19E-04,2.65E-13,2.44E-07,5.87E-07
1650,1.00E-01,3.13E-05,8.19E-27,1.56E-12,3.36E-24,2.55E-01,3.19E-05,9.03E-03,6.68E-12,3.83E-05,1.09E-11,8.05E-02,6.12E-01,3.66E-11,5.09E-07,4.26E-02,1.88E-08,5.35E-12,2.56E-06,1.86E-04,2.46E-06,1.46E-06,1.22E-14,1.20E-04,1.18E-04,8.73E-05,2.04E-09,8.55E-07,5.36E-08,9.25E-10,7.15E-13,1.25E-10,4.53E-10,3.21E-13,0.00E+00,1.14E-04,1.12E-13,2.55E-07,5.59E-07
1600,1.00E-01,1.77E-05,6.48E-28,5.23E-13,5.36E-25,2.55E-01,1.69E-05,9.02E-03,2.04E-12,2.04E-05,2.44E-12,8.05E-02,6.12E-01,6.57E-12,2.29E-07,4.25E-02,4.34E-09,8.84E-13,9.33E-07,1.28E-04,1.38E-06,7.34E-07,2.36E-15,1.11E-04,1.21E-04,8.81E-05,4.59E-10,2.77E-07,1.94E-08,2.37E-10,1.26E-13,2.68E-11,1.10E-10,4.37E-14,0.00E+00,3.56E-05,1.45E-14,8.65E-08,1.72E-07
1550,1.00E-01,9.66E-06,4.34E-29,1.64E-13,7.57E-26,2.55E-01,8.55E-06,9.03E-03,5.75E-13,1.04E-05,4.94E-13,8.05E-02,6.12E-01,1.05E-12,9.79E-08,4.25E-02,9.07E-10,1.30E-13,3.18E-07,8.66E-05,7.43E-07,3.53E-07,4.07E-16,1.01E-04,1.23E-04,8.77E-05,9.35E-11,8.30E-08,6.56E-09,5.55E-11,1.98E-14,5.19E-12,2.44E-11,5.22E-15,0.00E+00,1.02E-05,1.65E-15,2.73E-08,4.87E-08
